Original Row Number,02 Gender,03 Height (in.),04 Weight (lbs.),05 Desired Weight (lbs.),06 Class Level,07 Born in TN?,08 Member of Frat/Sorority?,09 Current GPA,10 Where Do You Sit?,11 Type Of Computer Used?,12 Text Messages Sent Per Day,13 $ Spent on Haircut,14 Percent of Tuition You Pay,15 One or More Parents College Grad?,16 Hours Working a Job Per Week,17 Minutes Per Day on "Facebook",18 Talk on Cell Phone While Driving?,19 Read Text Messages While Driving?,20 Send Text Messages While Driving?,21 Number of Tattoos,22 Number of Body Piercings,23 Grade in Math 125,24 Expected Grade in Stat 201,25 Left or Right Handed?,26 Hand You Hold Phone to Ear,27 Which Wrist Wear Watch,28 Introvert or Extravert,29 Fold or Crumple Toilet Paper,30 Hours per Week Playing Video Games,31 Fold Hands - Thumb on Top?,32 Fuel Efficiency (mpg),33 Distance from Home to UT,34 Hair Color,35 Own an e-Reader?,36 Percentage Dateable,37 Cell Phone Contacts,38 Cell Phone Contacts Gender Majority,39 Right Foot Bigger Toe,40 Left Foot Bigger Toe,41 Percent UT You Are More Attractive Than,42 Percent UT You Are More Intelligent Than,43 Percent UT You Are More Athletic Than,44 Percent UT You Are Funnier Than,45 Percent UT You Are More Wealthy Than,46 Change in Pocket/Purse,47 Significant Other?,48 Your Own Attractiveness Rating,49 Number of Vol Football Games Attended,50 Favorite TV Show,Studentized Resid 42 Percent UT You Are More Intelligent Than,h 42 Percent UT You Are More Intelligent Than,Cook's D Influence 42 Percent UT You Are More Intelligent Than
154,Female,71,134,125,Junior,Yes,No,2.56,Around the Middle,PC,30,20,0,Yes,10,45,Occasionally,On Rare Occasions,Never,0,4,C+,B,Left,Left,Left,Extravert,Crumple,0,Left,25,199,Blond,No,25,322,Females,Big Toe,Big Toe,25,20,75,75,50,0.95,Yes,50,12,Friends,-1.428987463,0.0331729161,0.0029193115
155,Female,64,135,125,Junior,Yes,No,3.46,Near the Front,PC,25,0,45,Yes,0,60,Occasionally,Frequently,Occasionally,0,0,A,B,Right,Right,Left,Extravert,Crumple,0,Right,0,195,Brown,No,40,61,Females,Big Toe,Same,45,50,45,25,25,0.93,No,50,7,Criminal Minds,-0.085130979,0.0207788205,6.4077287e-6
156,Male,68,180,195,Junior,Yes,No,3,Around the Middle,PC,10,17,0,No,0,10,Occasionally,Frequently,Occasionally,1,0,B+,A-,Right,Varies,Left,Introvert,Crumple,0,Left,16,21,Brown,No,0,60,Males,Big Toe,Big Toe,0,50,50,10,0,0,Yes,10,50,Eastbound and Down,1.1302022182,0.0509195223,0.0028555012
157,Female,65,160,145,Sophomore,Yes,No,3.18,The Front Row,PC,7,0,0,Yes,0,300,Occasionally,On Rare Occasions,On Rare Occasions,0,6,B,A,Right,Right,Left,Introvert,Fold,0,Left,0,171,Brown,Yes,25,126,Females,Second Toe,Second Toe,0,0,0,0,0,2,No,50,1,i dont have one,-0.827189512,0.0484675275,0.0014521987
158,Male,73,130,150,Senior,No,Yes,3.1,Around the Middle,PC,20,14,0,Yes,30,5,Occasionally,Occasionally,Occasionally,0,0,C+,B,Right,Varies,Left,Extravert,Crumple,2,Left,12,3.54,Brown,No,7,85,Males,Big Toe,Big Toe,70,70,30,30,85,0.3,No,80,60,South Park,0.7526245143,0.0334546869,0.0008169213
159,Female,64,117,115,Sophomore,Yes,No,3.94,Near the Front,Mac,25,0,0,Yes,20,30,On Rare Occasions,Frequently,Occasionally,0,0,A,A,Right,Right,Left,Introvert,Crumple,1,Left,25,7.8,Brown,No,5,120,Same,Big Toe,Big Toe,50,90,50,20,20,0.78,No,50,20,House,1.9267881847,0.0229978788,0.0036412373
160,Female,63,125,120,Sophomore,No,No,2.8,Near the Front,Other,3,100,0,Yes,20,4,Occasionally,On Rare Occasions,Never,0,3,A,B+,Right,Right,Left,Introvert,Fold,0,Left,0,3,Black,Yes,2,20,Males,Big Toe,Big Toe,30,3,20,10,50,0,No,60,2,America's got talents,-1.843095663,0.0317813226,0.0046460408
161,Female,66,140,135,Sophomore,Yes,No,3.09,Near the Back,Mac,10,12,0,Yes,0,0,Occasionally,On Rare Occasions,Never,0,2,C,A-,Right,Right,Left,Introvert,Varies,0,Right,27,187,Blond,No,25,54,Same,Big Toe,Big Toe,75,85,90,50,90,0,No,75,25,extreme makeover home edition,0.5404412647,0.0188911294,0.0002343292
162,Male,73,200,180,Sophomore,Yes,No,3.86,Near the Front,Mac,100,12,0,Yes,20,8,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,0,A,A,Right,Right,Left,Extravert,Crumple,2,Left,30,4,Brown,Yes,30,150,Same,Second Toe,Second Toe,30,50,30,50,40,0.33,No,40,3,House,-0.191529917,0.0196184417,0.0000305866
163,Female,65,130,120,Sophomore,Yes,No,3.62,Near the Front,PC,15,20,20,No,0,60,Occasionally,On Rare Occasions,Never,0,2,A,A,Right,Left,Left,Extravert,Fold,0,Left,24,387,Brown,No,50,41,Same,Big Toe,Big Toe,25,40,50,30,25,32.67,No,75,15,Bones,-0.469192043,0.0186996625,0.0001747921
164,Male,70.5,160,185,Sophomore,Yes,No,3.48,Near the Back,PC,75,15,50,Yes,0,100,Occasionally,Frequently,Frequently,2,2,A,A-,Right,Right,Left,Extravert,Crumple,2,Right,28,388.85,Black,No,30,43,Same,Big Toe,Big Toe,95,65,70,50,35,0,Yes,89,2,The Game,-0.549271878,0.0317656403,0.0004124208
165,Female,68,131,125,Sophomore,Yes,No,3.47,Somewhere Different All The Time,PC,200,65,0,Yes,20,60,Occasionally,Frequently,Frequently,0,2,A,A,Right,Left,Right,Introvert,Varies,0,Right,24,15.4,Blond,No,1,150,Same,Second Toe,Second Toe,87,93,56,7,78,0.79,No,87,35,Grey's Anatomy,1.7571287378,0.0291913525,0.0038682675
166,Female,67,150,130,Junior,Yes,No,3.87,Near the Front,Mac,50,40,0,Yes,0,120,Occasionally,Frequently,Frequently,0,2,A,A,Left,Right,Left,Introvert,Crumple,0,Right,18,32,Brown,No,25,103,Males,Same,Same,75,50,10,75,50,0.8,Yes,90,5,Project Runway,-0.935754903,0.019566624,0.0007281331
167,Female,64,98,108,Senior,No,No,2.28,Around the Middle,PC,200,50,0,Yes,0,180,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,3,2,A-,B+,Right,Right,Left,Extravert,Fold,0,Right,24,168,Brown,No,5,1000,Same,Same,Same,85,75,50,70,95,0,Yes,80,15,Lie to Me,1.1116211006,0.1143786541,0.0066496568
168,Male,70,185,185,Junior,Yes,No,2.8,Around the Middle,Mac,10,12,0,No,9,30,Frequently,Occasionally,Occasionally,0,0,B,B,Right,Left,Left,Introvert,Crumple,1,Right,18,164,Brown,No,10,348,Males,Second Toe,Second Toe,70,60,90,40,50,0,No,85,25,It's Always Sunny in Philadelphia,-0.080480477,0.0157518978,4.3191485e-6
169,Female,64,135,120,Senior,Yes,No,3.11,Around the Middle,PC,5,105,0,Yes,7,1,Occasionally,On Rare Occasions,Never,0,0,A,A,Right,Left,Left,Extravert,Fold,0,Left,0,17.6,Black,No,35,212,Females,Big Toe,Big Toe,50,75,40,60,80,0.26,Yes,80,17,Veronica Mars,0.941020268,0.0342570583,0.0013088059
170,Female,61,100,100,Junior,Yes,No,3.48,The Front Row,PC,20,16,100,No,0,30,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,2,A,B,Right,Right,Left,Introvert,Fold,0,Right,20,46.8,Brown,No,40,109,Males,Second Toe,Second Toe,1,0,2,3,0,0.36,No,3,40,Psych,-1.90765334,0.0424140643,0.006716141
171,Female,66,138,125,Sophomore,No,No,3.46,Around the Middle,PC,120,70,0,Yes,0,90,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,3,A,A,Right,Right,Left,Extravert,Fold,1,Right,40,119,Blond,No,5,197,Same,Same,Same,65,75,50,50,35,2.67,No,86,12,Grey's Anatomy,0.7727406692,0.0164556908,0.0004162732
172,Male,72,185,185,Senior,Yes,No,2.4,Around the Middle,Mac,30,15,100,Yes,20,150,Occasionally,Occasionally,On Rare Occasions,0,0,C+,B,Right,Left,Left,Introvert,Varies,2,Left,0,0,Brown,No,40,145,Same,Second Toe,Second Toe,100,100,100,100,0,0,Yes,100,5,Curb your Enthusiasm,1.480403754,0.0355403102,0.0033650091
173,Female,67,115,115,Sophomore,No,No,4,Near the Front,PC,70,17,0,Yes,0,45,Occasionally,Frequently,Occasionally,0,2,A,A,Right,Varies,Left,Extravert,Fold,0,Left,16,378,Brown,No,15,216,Females,Big Toe,Big Toe,10,25,40,10,10,21,No,50,9,Cake Boss,-0.544889873,0.0186725078,0.0002353937
174,Female,67,125,115,Freshman,Yes,Yes,4,Near the Front,PC,30,120,0,Yes,0,15,Frequently,Frequently,Frequently,1,5,A,A-,Right,Right,Left,Introvert,Fold,1,Left,30,10.9,Blond,No,5,143,Females,Big Toe,Big Toe,20,50,30,10,60,60.48,Yes,60,53,Grey's Anatomy,0.1750052293,0.0441476064,0.0000589396
175,Male,66,200,175,Junior,No,No,3.4,Near the Back,PC,300,14,0,No,8,30,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,0,A,A,Right,Left,Left,Introvert,Fold,5,Right,15,77.4,Brown,No,20,170,Females,Big Toe,Big Toe,65,40,60,70,66,13,Yes,75,13,The Office,-1.519740923,0.0224174713,0.0022067903
176,Female,66,182,140,Sophomore,Yes,No,3.53,Near the Front,Mac,15,20,0,Yes,13,75,On Rare Occasions,Occasionally,Occasionally,0,2,A,A,Right,Right,Right,Introvert,Crumple,0,Left,33,17.36,Brown,No,25,105,Females,Big Toe,Big Toe,20,35,15,25,10,3.28,No,52,12,The Office,-0.314041775,0.0170002278,0.0000710665
177,Female,65,180,130,Junior,No,Yes,2.8,Around the Middle,PC,300,120,0,Yes,30,120,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,1,4,A,A,Right,Left,Left,Extravert,Fold,3,Left,23,208,Blond,No,60,149,Females,Big Toe,Big Toe,40,40,10,60,60,100,Yes,85,30,Greek,-0.343631662,0.0773947799,0.0004127346
178,Female,60,114,110,Junior,Yes,Yes,3.3,Around the Middle,Mac,25,40,50,Yes,5,10,Occasionally,Frequently,On Rare Occasions,1,2,A,A-,Right,Left,Left,Extravert,Fold,3,Right,0,25,Brown,No,3,415,Males,Big Toe,Big Toe,20,50,30,60,50,9.73,Yes,65,30,House,0.0964669264,0.0310299875,0.000012417
179,Female,67,127,127,Junior,Yes,No,2.8,Somewhere Different All The Time,Mac,300,20,0,Yes,0,15,Occasionally,Frequently,Frequently,0,2,C+,B,Right,Right,Left,Extravert,Fold,0,Right,15,46,Brown,No,1,215,Males,Big Toe,Big Toe,80,60,75,80,75,0.78,No,75,60,I don't watch TV,-0.258981663,0.0269092903,0.0000772815
180,Female,67,125,125,Junior,Yes,No,2.89,Around the Middle,PC,75,65,0,Yes,0,45,Occasionally,Frequently,Occasionally,0,4,B-,A,Right,Right,Left,Introvert,Crumple,2,Left,30,17.8,Red,No,1,134,Females,Same,Same,50,50,75,50,75,26.27,Yes,85,1,teen mom,-0.504891733,0.0188632033,0.0002042073
181,Female,64,107,100,Sophomore,Yes,No,2.93,Near the Front,PC,25,20,80,Yes,0,60,Practically Every Time I Drive,Occasionally,Occasionally,0,2,B,B+,Right,Right,Left,Introvert,Fold,0,Right,25,95,Brown,No,50,53,Females,Big Toe,Big Toe,20,10,30,10,10,0,Yes,45,8,Teen Mom,-1.522232293,0.021754105,0.0021470582
182,Female,67,130,130,Sophomore,Yes,Yes,3.38,Around the Middle,PC,30,105,35,Yes,6,60,On Rare Occasions,On Rare Occasions,Never,0,3,A,A,Right,Left,Left,Introvert,Fold,0,Right,22,10.1,Blond,No,0,150,Males,Second Toe,Second Toe,85,85,60,85,40,1.25,Yes,90,20,Gilmore Girls,0.5758078504,0.0259562984,0.000368136
183,Female,63,130,115,Senior,Yes,Yes,3.25,Around the Middle,PC,15,80,0,Yes,16,60,Practically Every Time I Drive,Occasionally,Occasionally,0,7,A,A,Right,Varies,Left,Introvert,Fold,2,Left,30,36,Blond,No,25,200,Females,Second Toe,Second Toe,50,75,30,75,25,0.08,Yes,55,75,Grey's Anatomy,1.0689681768,0.0324383554,0.0015962411
184,Female,65.5,140,135,Freshman,Yes,No,3.83,Near the Front,PC,10,35,0,Yes,12,0,Occasionally,On Rare Occasions,On Rare Occasions,0,4,A,A,Left,Left,Right,Introvert,Varies,0,Right,27,14.87,Red,No,5,130,Females,Big Toe,Big Toe,55,55,30,45,15,0,No,90,0,Teen Mom,-0.06756174,0.0169334974,3.2760775e-6
185,Male,72,167,180,Sophomore,Yes,No,2.87,Near the Back,PC,40,10,100,No,20,80,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,0,A-,B+,Right,Left,Left,Introvert,Crumple,1,Right,26,89.2,Brown,No,70,208,Same,Big Toe,Second Toe,45,45,60,80,24,0,No,78,12,NCIS,-0.779341233,0.0206850167,0.0005345367
186,Female,67,135,130,Junior,No,No,3.2,Near the Front,PC,50,20,0,Yes,20,60,Occasionally,Frequently,Occasionally,0,3,A,A,Right,Right,Left,Extravert,Crumple,0,Left,15,114.33,Brown,No,20,207,Males,Big Toe,Big Toe,60,60,70,70,40,1.25,No,75,12,Family Guy,0.0532305579,0.0103182356,1.230894e-6
187,Female,73,135,120,Junior,No,No,3.16,Near the Front,PC,300,20,60,Yes,30,10,Occasionally,Occasionally,On Rare Occasions,0,3,A,A-,Right,Right,Left,Introvert,Crumple,0,Left,16,74,Brown,No,60,200,Females,Big Toe,Big Toe,20,40,50,30,20,0.87,No,25,6,Friday Night Lights,0.3967622845,0.0529832419,0.0003669699
188,Female,62,114,112,Senior,No,Yes,3.43,Near the Back,Mac,100,40,0,Yes,15,60,On Rare Occasions,Frequently,Occasionally,0,6,B+,B+,Right,Right,Right,Introvert,Crumple,1,Left,25,101,Brown,No,20,265,Same,Second Toe,Second Toe,50,50,25,20,40,2,No,75,20,Glee,0.1837692878,0.0149185627,0.0000213103
189,Male,72,200,185,Sophomore,Yes,No,3.35,Around the Middle,Mac,100,7,0,Yes,0,30,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,0,A,A,Left,Left,Left,Introvert,Crumple,3,Left,26,65,Brown,Yes,12,100,Females,Big Toe,Big Toe,40,45,60,50,35,4,No,65,20,The Office,-0.546082129,0.0106954315,0.00013433
190,Male,71,155,165,Sophomore,No,No,3.77,Near the Back,Mac,200,10,0,Yes,0,60,On Rare Occasions,Occasionally,Occasionally,0,0,A,A-,Right,Right,Left,Extravert,Crumple,6,Right,18,381,Brown,No,10,135,Same,Second Toe,Second Toe,50,50,60,50,40,0,Yes,70,21,Family Guy,-0.406365282,0.0128297059,0.0000894225
191,Male,72,148,155,Junior,No,No,3,Near the Back,PC,12,20,0,Yes,15,45,On Rare Occasions,Never,Never,0,0,B-,A-,Right,Varies,Left,Introvert,Crumple,3,Left,30,19.1,Brown,No,15,34,Males,Big Toe,Big Toe,50,70,60,80,30,0,No,65,0,Aqua Teen Hunger Force,0.598832812,0.0160746856,0.000244107
192,Male,70,160,160,Sophomore,Yes,Yes,2.6,Around the Middle,Mac,100,0,0,No,0,68,Occasionally,Practically Every Time I Drive,Frequently,0,0,C+,A-,Right,Right,Left,Introvert,Crumple,0,Left,24,193,Brown,No,10,200,Males,Second Toe,Second Toe,65,50,82,56,73,0,Yes,61,8,sportscenter,-0.684937487,0.015047591,0.0002986361
193,Female,63,150,130,Sophomore,No,Yes,3.65,Near the Front,Mac,75,20,0,No,0,60,Occasionally,Occasionally,On Rare Occasions,0,2,A,A,Right,Left,Left,Extravert,Fold,0,Left,15,381,Brown,No,10,210,Same,Big Toe,Big Toe,10,50,5,45,30,1.75,No,40,20,the office,0.4991476672,0.0149989569,0.0001580779
194,Female,67,130,130,Sophomore,Yes,Yes,4,The Front Row,PC,200,30,0,Yes,0,120,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,4,A,A,Right,Right,Left,Extravert,Crumple,0,Left,17,114,Brown,No,50,150,Females,Big Toe,Big Toe,50,75,75,25,25,4,No,50,8,NCIS,1.3399675158,0.022391271,0.0017135271
195,Female,67,171,160,Sophomore,No,No,3.09,Near the Front,PC,5,0,0,Yes,0,2,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,2,B+,A,Ambidextrous,Varies,Left,Extravert,Crumple,1,Left,0,633.98,Brown,No,5,172,Females,Second Toe,Same,25,45,95,60,30,1.43,No,75,8,Covert Affairs,-0.325530513,0.0278294159,0.0001263961
196,Female,64.5,156,140,Freshman,Yes,No,0,Near the Front,PC,75,33,30,Yes,0,50,On Rare Occasions,Frequently,Occasionally,0,4,A-,A-,Right,Left,Left,Extravert,Crumple,0,Left,25,381.38,Brown,No,25,70,Same,Same,Same,45,60,20,25,30,0.23,Yes,55,2,Rizzoli and Isles,1.8558547343,0.0548094253,0.0083217101
197,Male,77.5,220,187,Sophomore,No,No,3.87,The Back Row,Mac,250,20,0,Yes,25,5,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,1,A,B+,Ambidextrous,Left,Left,Extravert,Crumple,15,Left,14,259,Blond,No,0.01,18,Same,Same,Same,93,85,65,100,88,23.5,Yes,99.999,0,Supernatural,-0.185429177,0.0539342115,0.0000816748
198,Male,67,165,180,Junior,Yes,No,2.5,Somewhere Different All The Time,PC,30,20,0,Yes,0,30,Frequently,Frequently,Frequently,0,0,B,B+,Right,Right,Left,Introvert,Crumple,1,Left,14,0,Brown,No,50,100,Males,Same,Same,50,30,70,70,40,10,Yes,60,30,looney tunes,-1.426257627,0.0185124766,0.0015986907
199,Female,65,130,125,Junior,Yes,No,3.6,Around the Middle,PC,200,110,0,Yes,6,45,Occasionally,Occasionally,Occasionally,0,3,B,B+,Right,Right,Right,Extravert,Crumple,1,Right,24,180,Brown,No,10,70,Same,Big Toe,Big Toe,50,30,60,85,20,1.3,Yes,80,25,Gilmore Girls,-1.573862659,0.0360171533,0.0038562262
200,Male,75,200,195,Junior,No,No,3.5,Near the Back,PC,200,18,0,Yes,15,120,On Rare Occasions,On Rare Occasions,Never,0,0,A-,A,Right,Right,Left,Extravert,Fold,2,Right,29,371,Brown,No,15,159,Females,Big Toe,Big Toe,90,80,80,98,68,20,No,90,16,Family Guy,-0.054399893,0.0190615054,2.3960743e-6
201,Male,73,189,175,Junior,No,Yes,3.14,Near the Back,Mac,50,24,0,No,20,30,Occasionally,Frequently,Frequently,0,0,B+,A,Right,Left,Left,Introvert,Fold,0,Left,16,16,Brown,No,10,60,Males,Second Toe,Second Toe,70,70,90,75,95,0,Yes,80,15,Everybody Loves Raymond,-0.209787003,0.0216329426,0.0000405471
202,Female,60,124,120,Sophomore,No,No,3.26,Around the Middle,PC,200,15,0,No,15,120,Frequently,Practically Every Time I Drive,Frequently,0,5,A-,B+,Left,Left,Right,Extravert,Fold,2,Left,0,350,Brown,No,50,285,Same,Second Toe,Second Toe,50,35,70,50,65,0.58,Yes,75,5,Grey's Anatomy,-0.963299894,0.0255956035,0.0010156356
203,Male,69,154,160,Sophomore,No,No,3.05,Near the Front,Mac,5,20,0,Yes,0,5,Occasionally,On Rare Occasions,On Rare Occasions,0,0,A-,A,Right,Right,Left,Introvert,Fold,1,Left,17,0,Black,No,20,95,Same,Big Toe,Big Toe,20,60,40,30,70,8,No,80,5,History and Family Guy,0.8341065083,0.017399712,0.0005133304
204,Female,72,273,220,Junior,Yes,Yes,2.75,Somewhere Different All The Time,PC,100,7,0,No,12,4,Occasionally,On Rare Occasions,On Rare Occasions,3,10,B+,B+,Right,Right,Right,Introvert,Fold,0,Right,0,393,Brown,No,2,125,Females,Big Toe,Big Toe,0,20,100,30,30,0,No,75,1,The Game,-0.611576495,0.122652574,0.0021786897
205,Male,74,180,180,Sophomore,No,Yes,2.54,Around the Middle,PC,50,17,20,Yes,0,40,Occasionally,On Rare Occasions,On Rare Occasions,0,0,B+,B+,Right,Varies,Left,Extravert,Crumple,1,Left,17,380.6,Brown,No,75,202,Same,Big Toe,Big Toe,90,70,50,85,95,0,Yes,80,5,Eastbound and down,-0.297131138,0.0235000517,0.0000885282
206,Female,68,132,125,Junior,No,No,3.6,Around the Middle,PC,50,48,33,Yes,3.5,30,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,2,A,A,Right,Right,Left,Extravert,Varies,0.2,Left,22,24.08,Blond,No,5,179,Females,Same,Same,50,95,50,50,50,0,Yes,60,12,30 Rock,1.8739622597,0.008135927,0.0012002323
207,Male,70,145,150,Sophomore,Yes,No,4,Near the Front,PC,25,12,0,Yes,0,40,On Rare Occasions,On Rare Occasions,On Rare Occasions,0,0,A,A,Right,Right,Right,Introvert,Fold,0,Left,15,97.63,Brown,No,5,200,Same,Big Toe,Big Toe,50,97,40,60,70,0,Yes,75,10,The Daily Show,1.8221359136,0.0143357687,0.0020120663
208,Female,63,115,110,Senior,Yes,No,3.62,Near the Front,Mac,50,30,0,Yes,5,0,Frequently,Occasionally,Occasionally,0,2,B,A,Right,Right,Left,Extravert,Fold,1,Left,27,64,Brown,No,10,125,Same,Second Toe,Second Toe,60,80,40,40,50,1.98,Yes,85,10,Food Network Challenge,1.0094555922,0.0104387892,0.0004478893
209,Male,69,160,154,Senior,Yes,No,3.5,The Front Row,PC,20,0,100,Yes,30,60,Occasionally,Occasionally,On Rare Occasions,0,0,C-,B+,Right,Right,Left,Extravert,Fold,0,Right,25,2,Brown,No,10,60,Males,Second Toe,Second Toe,75,90,70,75,20,0,Yes,75,5,Bones,0.7585822164,0.0199466162,0.000487993
210,Male,72,155,175,Senior,Yes,No,3.05,Around the Middle,Mac,10,13,0,Yes,0,30,Occasionally,On Rare Occasions,On Rare Occasions,0,0,B,A,Right,Right,Left,Introvert,Fold,1,Right,18,314.8,Brown,No,10,94,Same,Big Toe,Big Toe,80,50,65,50,70,0,No,80,25,How I met Your Mother,-1.020923749,0.0115963835,0.0005095228
211,Male,64,160,150,Sophomore,Yes,No,3.52,Near the Front,PC,500,16,100,Yes,40,120,Occasionally,Frequently,On Rare Occasions,0,0,B+,A-,Right,Right,Left,Extravert,Fold,7,Right,30,183,Brown,No,50,253,Females,Second Toe,Same,60,70,50,50,30,0,No,80,9,Archer,0.6131474605,0.0609224669,0.0010162362
212,Male,70,170,160,Sophomore,Yes,No,3.78,Around the Middle,Mac,20,15,0,Yes,0,30,Occasionally,Occasionally,Occasionally,0,0,A-,A,Right,Right,Left,Introvert,Fold,10,Left,20,380,Brown,No,50,124,Males,Second Toe,Second Toe,25,85,50,25,50,0,No,65,14,Dexter,1.762992438,0.0164212141,0.0021621497
213,Female,61,112,108,Senior,Yes,No,3.37,Around the Middle,PC,40,40,0,Yes,15,30,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,1,4,A,A,Right,Right,Left,Extravert,Crumple,1,Right,18,303,Blond,Yes,5,260,Same,Same,Same,70,50,70,65,65,0,No,80,25,Private Practice,-1.009642299,0.0137728972,0.0005931605
214,Female,68,118,110,Sophomore,Yes,No,3.78,Near the Front,PC,10,14,100,Yes,0,45,Frequently,Occasionally,Occasionally,0,2,B+,A,Right,Varies,Left,Introvert,Varies,2,Right,32,189,Blond,No,70,132,Same,Same,Same,40,79,45,10,40,0,Yes,45,3,House,1.1480310058,0.0346107462,0.0019688131
215,Male,72,200,185,Senior,No,No,3.2,Near the Back,PC,20,0,100,No,20,0.5,Frequently,Frequently,Frequently,1,0,B+,A-,Right,Right,Left,Introvert,Fold,10,Left,23,733.41,Black,No,70,54,Males,Second Toe,Second Toe,70,70,85,70,40,0,Yes,80,3,Entourage,-0.581127433,0.0305297251,0.0004431185
216,Female,64,150,140,Freshman,No,No,0,Near the Front,PC,50,35,75,Yes,10,60,On Rare Occasions,Frequently,Frequently,0,2,A-,A-,Right,Left,Left,Extravert,Varies,0,Left,25,379,Brown,No,20,75,Same,Big Toe,Big Toe,20,70,75,20,20,7.85,No,28,7,One Tree Hill,2.4506293619,0.0727190766,0.0196237071
217,Female,64,125,115,Sophomore,Yes,Yes,3.3,Near the Front,Mac,100,40,40,Yes,0,60,Frequently,Occasionally,Occasionally,0,2,A,A,Right,Left,Left,Extravert,Fold,0,Left,15,174,Red,No,10,316,Females,Big Toe,Big Toe,50,80,70,30,50,4,No,80,65,NCIS,1.4120247584,0.0137916369,0.001161771
218,Female,66,130,130,Junior,Yes,No,2.84,Around the Middle,Other,50,10,10,Yes,0,100,Occasionally,Frequently,Frequently,2,5,C+,B,Right,Right,Left,Introvert,Crumple,2,Left,0,174.5,Brown,No,30,40,Females,Second Toe,Second Toe,35,50,60,30,20,0.45,Yes,60,3,Family guy,0.7136971232,0.0283387914,0.0006189893
219,Female,61,121,115,Sophomore,No,No,3.8,Around the Middle,Mac,50,30,0,Yes,0,30,Occasionally,Frequently,Frequently,1,5,A,A,Right,Left,Left,Extravert,Crumple,1,Left,25,379,Brown,No,10,170,Same,Big Toe,Second Toe,10,60,50,50,70,0.75,Yes,35,10,Modern Family,0.3709209115,0.0268844235,0.0001583754
220,Female,66,135,130,Junior,Yes,No,3.97,Around the Middle,PC,25,40,0,Yes,13,10,Frequently,Occasionally,On Rare Occasions,0,2,A,A-,Right,Right,Right,Extravert,Crumple,0,Right,28,377,Brown,No,10,276,Females,Same,Same,20,60,60,20,40,1.66,Yes,70,14,24,0.6520599588,0.0168452618,0.0003035426
221,Female,63,152,145,Sophomore,No,No,3.2,The Front Row,Mac,50,20,50,No,20,45,Occasionally,Practically Every Time I Drive,Practically Every Time I Drive,0,1,B-,B-,Right,Right,Left,Extravert,Fold,0,Left,20,387.4,Brown,No,20,264,Females,Big Toe,Big Toe,10,5,70,50,10,0,No,75,2,The real world,-2.158513333,0.0240076005,0.0047752988
222,Female,70,140,130,Junior,Yes,Yes,3.6,Around the Middle,Mac,15,50,0,Yes,8,80,Occasionally,On Rare Occasions,On Rare Occasions,1,2,A,A,Right,Right,Right,Extravert,Crumple,0,Left,20,385,Brown,No,20,50,Same,Same,Same,90,80,40,95,80,1,No,80,6,the office,-0.019130079,0.0230479002,3.597331e-7
223,Male,76,180,205,Junior,No,No,2.42,Near the Front,PC,10,0,100,Yes,0,60,Frequently,Practically Every Time I Drive,Practically Every Time I Drive,0,0,D+,B,Right,Right,Left,Introvert,Varies,1,Left,19,472,Blond,No,25,105,Males,Big Toe,Big Toe,25,50,65,50,25,0,No,82,20,the sopranos,0.1851213176,0.0289155579,0.0000425183
224,Female,64,139,120,Senior,No,Yes,3.18,Near the Back,Other,30,50,0,Yes,8,1,Practically Every Time I Drive,Practically Every Time I Drive,Practically Every Time I Drive,0,4,A,A,Right,Left,Left,Extravert,Crumple,2,Left,0,16,Brown,No,20,132,Same,Second Toe,Second Toe,50,70,40,10,80,6.04,Yes,70,25,Glee,1.0623527795,0.0224487492,0.0010798884
225,Male,68,130,125,Junior,Yes,No,2.75,Near the Back,Mac,100,15,0,Yes,20,2,Frequently,Frequently,Frequently,0,4,C,B+,Right,Right,Left,Introvert,Fold,5,Right,14,11.6,Brown,No,50,396,Same,Same,Same,50,25,50,50,75,20,No,85,15,Breaking Bad,-1.396970882,0.0269845868,0.0022550674
226,Male,68,142,150,Junior,Yes,No,3.57,Near the Back,Mac,20,12.95,100,Yes,8,20,Occasionally,Occasionally,Occasionally,0,0,A,A,Right,Left,Left,Extravert,Crumple,0,Right,28,8.4,Brown,No,20,160,Same,Big Toe,Big Toe,66,90,95,50,99,0,No,66,70,Sportscenter,0.4065673521,0.0313146934,0.0002226482
