GPA,PMAttractive,PMIntelligent,PMAthletic,PMFunnier,PMWeathier,Gender,Handedness,Personality,HairColor,SigOther,TextsPerDay,CellPhoneContacts
3.03,0,80,80,50,50,Male,Right,Extrovert,Brown,No,15,165
3.03,75,75,75,50,50,Female,Right,Introvert,Black,No,25,165
3.8,50,60,90,50,70,Female,Right,Introvert,Blond,No,25,165
3.41,20,70,60,50,35,Male,Right,Extrovert,Black,No,40,165
2.6,65,50,70,65,50,Male,Right,Introvert,Brown,Yes,50,165
3.56,5,60,15,25,60,Female,Right,Introvert,Brown,No,100,165
3.91,15,90,40,70,50,Female,Right,Extrovert,Brown,No,20,166
3.05,69,50,69,50,30,Female,Right,Extrovert,Brown,Yes,30,166
3.23,95,50,65,30,30,Female,Right,Introvert,Brown,No,10,167
3.5,60,50,85,80,45,Male,Right,Introvert,Brown,Yes,50,167
2.47,75,50,85,80,15,Male,Right,Introvert,Black,Yes,50,167
2.67,75,50,80,25,25,Male,Right,Extrovert,Black,Yes,150,167
3.43,70,50,25,50,25,Female,Right,Extrovert,Brown,No,150,167
3.89,70,98,60,40,30,Male,Right,Introvert,Blond,Yes,15,170
3.8,10,60,50,50,70,Female,Right,Extrovert,Brown,Yes,50,170
3.35,15,25,10,30,0,Female,Right,Introvert,Brown,No,60,170
3.7,15,45,15,30,45,Female,Right,Introvert,Brown,Yes,100,170
3.4,65,40,60,70,66,Male,Right,Introvert,Brown,Yes,300,170
3.09,25,45,95,60,30,Female,Ambidextrous,Extrovert,Brown,No,5,172
3.64,95,98,90,95,10,Male,Right,Introvert,Black,Yes,10,176
2.74,76,24,100,70,100,Male,Right,Extrovert,Black,No,450,176
3.16,20,30,10,70,50,Male,Right,Extrovert,Brown,No,50,177
3.54,60,60,75,60,45,Female,Right,Extrovert,Blond,Yes,45,178
2.3,40,20,30,60,80,Female,Right,Introvert,Brown,No,60,178
2.7,65,70,40,50,40,Female,Right,Introvert,Brown,Yes,200,178
2.99,20,40,15,70,40,Male,Right,Extrovert,Brown,Yes,20,179
3.6,50,95,50,50,50,Female,Right,Extrovert,Blond,Yes,50,179
3.45,85,95,50,97,99,Male,Right,Extrovert,Brown,No,150,179
3,50,75,60,50,80,Female,Right,Introvert,Blond,No,10,180
3.1,50,20,20,30,19,Female,Right,Extrovert,Blond,Yes,100,180
3.13,5,20,30,10,40,Male,Right,Introvert,Brown,Yes,150,180
3.74,70,85,70,85,50,Male,Right,Extrovert,Brown,No,45,182
3.7,10,20,10,50,5,Female,Right,Introvert,Blond,Yes,150,182
3.83,40,70,20,30,40,Female,Right,Introvert,Brown,No,16,186
3.49,20,50,40,75,15,Male,Right,Introvert,Brown,Yes,30,187
2.89,100,90,75,100,50,Male,Right,Extrovert,Brown,No,10,189
2.86,80,60,50,50,60,Male,Right,Extrovert,Red,Yes,100,189
2.59,30,30,10,40,30,Female,Right,Extrovert,Black,No,10,190
3.25,75,25,80,25,50,Male,Right,Extrovert,Brown,No,100,191
2.44,50,50,20,50,20,Female,Right,Extrovert,Black,Yes,30,192
3.19,50,60,40,80,50,Male,Right,Extrovert,Brown,Yes,120,194
3.32,95,65,90,95,60,Female,Right,Extrovert,Brown,Yes,200,194
2.9,50,30,40,60,45,Female,Right,Extrovert,Brown,No,150,195
2.79,65,65,45,45,45,Female,Right,Extrovert,Brown,No,75,196
3.46,65,75,50,50,35,Female,Right,Extrovert,Blond,No,120,197
3.4,25,75,25,25,25,Male,Right,Extrovert,Brown,No,25,198
2.85,30,50,35,40,50,Female,Right,Introvert,Brown,Yes,350,198
2.84,42,78,94,73,22,Female,Right,Extrovert,Brown,Yes,8,200
2.4,60,70,65,75,40,Male,Right,Extrovert,Black,No,10,200
3.25,50,75,30,75,25,Female,Right,Introvert,Blond,Yes,15,200
3.66,50,50,20,20,60,Female,Right,Introvert,Brown,Yes,15,200
2.98,85,60,87,50,40,Male,Right,Introvert,Blond,No,20,200
3.77,75,60,80,99,55,Male,Right,Extrovert,Blond,No,20,200
3.7,75,85,60,75,50,Male,Right,Extrovert,Brown,No,20,200
2.8,100,100,100,100,100,Female,Right,Extrovert,Brown,No,20,200
4,50,97,40,60,70,Male,Right,Introvert,Brown,Yes,25,200
3,90,50,80,90,60,Male,Right,Introvert,Brown,Yes,30,200
3.3,20,20,40,50,20,Female,Right,Extrovert,Blond,No,30,200
2.67,70,50,50,70,90,Female,Right,Extrovert,Brown,Yes,30,200
3.2,40,40,100,30,20,Female,Right,Introvert,Brown,Yes,30,200
2.94,70,80,80,90,50,Male,Right,Extrovert,Brown,No,30,200
3.04,70,30,50,55,50,Female,Right,Extrovert,Brown,Yes,40,200
2.75,0,50,70,50,30,Male,Right,Introvert,Brown,Yes,50,200
3.24,8,20,1,2,70,Female,Right,Introvert,Brown,No,50,200
2.9,50,50,70,90,60,Female,Right,Extrovert,Brown,Yes,50,200
3.86,64,64,97,80,55,Female,Right,Extrovert,Blond,No,55,200
2.56,100,50,60,70,5,Female,Left,Introvert,Brown,No,70,200
3.42,50,50,30,15,20,Female,Right,Introvert,Brown,Yes,75,200
3.6,40,40,65,20,25,Female,Right,Introvert,Brown,No,75,200
2.85,60,60,70,60,40,Male,Right,Extrovert,Black,No,75,200
2.86,75,35,80,20,40,Male,Right,Introvert,Brown,No,75,200
3.85,60,80,60,80,70,Male,Right,Extrovert,Blond,No,80,200
3.2,50,40,30,30,30,Female,Right,Introvert,Brown,No,90,200
3.14,65,90,75,50,90,Male,Ambidextrous,Extrovert,Brown,Yes,100,200
3.04,30,30,30,40,20,Female,Right,Extrovert,Brown,No,100,200
2.6,65,50,82,56,73,Male,Right,Introvert,Brown,Yes,100,200
3.8,50,80,70,40,40,Male,Right,Introvert,Brown,No,100,200
2.6,40,40,50,90,50,Female,Right,Extrovert,Brown,No,100,200
3.5,50,80,60,40,20,Female,Right,Introvert,Blond,Yes,100,200
3.1,100,100,100,100,100,Male,Right,Extrovert,Brown,Yes,100,200
3.25,30,25,50,20,50,Male,Right,Extrovert,Brown,Yes,100,200
2.49,50,25,10,25,25,Female,Right,Introvert,Black,No,100,200
3.45,0,10,0,2,10,Female,Right,Extrovert,Brown,No,150,200
3,50,50,30,60,50,Female,Right,Extrovert,Brown,Yes,150,200
2.65,75,40,70,80,20,Male,Right,Extrovert,Brown,No,200,200
3.93,50,70,30,30,40,Female,Right,Introvert,Brown,No,200,200
3.16,20,40,50,30,20,Female,Right,Introvert,Brown,No,300,200
2.4,10,20,45,20,50,Female,Right,Extrovert,Brown,Yes,450,200
2.79,69,53.8,46.9,77.4,50,Male,Right,Introvert,Brown,No,15,202
2.54,90,70,50,85,95,Male,Right,Extrovert,Brown,Yes,50,202
2.85,75,60,55,80,85,Male,Right,Extrovert,Brown,Yes,300,202
3.65,50,60,70,65,50,Male,Right,Introvert,Brown,Yes,15,203
3.4,75,60,40,60,80,Female,Right,Extrovert,Brown,Yes,50,203
2.3,70,60,70,50,40,Male,Right,Introvert,Brown,Yes,35,204
3.3,90,90,90,91,99,Male,Right,Introvert,Brown,No,50,204
2.89,75,70,30,50,70,Female,Right,Introvert,Black,Yes,108,205
3.2,60,60,70,70,40,Female,Right,Extrovert,Brown,No,50,207
2.65,70,40,20,50,60,Female,Right,Introvert,Brown,No,20,208
2.87,45,45,60,80,24,Male,Right,Introvert,Brown,No,40,208
3.1,50,30,50,70,90,Female,Right,Extrovert,Brown,No,50,208
3.97,65,70,40,45,40,Female,Right,Extrovert,Blond,Yes,80,208
3.3,75,50,50,25,30,Male,Right,Extrovert,Blond,No,100,208
3.55,35,60,20,20,60,Female,Right,Extrovert,Blond,No,150,208
2.13,65,50,55,60,45,Male,Right,Introvert,Brown,No,15,209
3.75,60,90,30,25,30,Male,Right,Extrovert,Brown,No,18,209
2.6,65,79.8,22,45,33,Male,Right,Extrovert,Brown,No,15,210
3.65,10,50,5,45,30,Female,Right,Extrovert,Brown,No,75,210
3.6,70,70,50,99,15,Female,Right,Extrovert,Brown,No,100,210
3,70,70,60,60,50,Male,Right,Extrovert,Blond,No,200,210
3.11,50,75,40,60,80,Female,Right,Extrovert,Black,Yes,5,212
3.24,60,75,80,85,50,Male,Right,Introvert,Brown,Yes,15,212
3.14,5,20,6,10,5,Male,Right,Introvert,Black,Yes,100,212
3.2,70,40,75,30,50,Male,Right,Introvert,Black,No,150,213
3.4,93,67,95,90,70,Male,Ambidextrous,Introvert,Brown,No,75,215
2.8,80,60,75,80,75,Female,Right,Extrovert,Brown,No,300,215
2.6,80,90,60,80,10,Male,Right,Extrovert,Brown,No,20,216
2.14,98,50,95,50,15,Male,Right,Introvert,Brown,No,50,216
4,10,25,40,10,10,Female,Right,Extrovert,Brown,No,70,216
2.93,10,20,15,5,3,Female,Ambidextrous,Introvert,Blond,No,200,216
3.8,100,90,50,80,15,Female,Right,Extrovert,Blond,No,50,217
3.28,10,60,0,10,20,Female,Left,Introvert,Blond,No,30,218
3.15,40,30,50,70,30,Female,Right,Extrovert,Brown,No,100,218
2.67,40,80,60,40,50,Male,Right,Introvert,Brown,Yes,50,220
3.66,75,60,60,75,60,Female,Right,Extrovert,Blond,Yes,100,220
3.87,25,65,60,75,10,Female,Ambidextrous,Extrovert,Blond,No,100,220
3.9,80,95,75,98,89,Male,Left,Introvert,Red,No,120,220
3.83,50,80,70,70,50,Female,Right,Extrovert,Blond,No,60,222
3.78,50,60,25,50,50,Female,Right,Introvert,Blond,No,15,225
3,80,60,25,80,40,Male,Right,Extrovert,Red,No,10,226
2.2,50,50,79,20,50,Male,Right,Extrovert,Brown,Yes,20,226
3.89,75,92,95,50,75,Male,Right,Introvert,Brown,Yes,100,229
3.4,50,50,20,60,50,Female,Right,Extrovert,Blond,Yes,150,229
3.01,75,50,15,65,65,Female,Right,Extrovert,Brown,No,25,230
3.6,90,80,80,85,10,Male,Right,Extrovert,Brown,Yes,30,230
3.51,70,70,85,50,60,Male,Right,Extrovert,Blond,No,25,231
2.98,75,40,30,45,50,Female,Right,Extrovert,Red,No,30,231
3.31,85,95,65,70,50,Female,Right,Introvert,Blond,Yes,150,233
3.36,50,60,50,30,30,Female,Right,Introvert,Brown,Yes,45,234
3.11,70,30,50,60,80,Male,Right,Extrovert,Brown,Yes,40,235
3.85,90,85,60,89,60,Male,Right,Extrovert,Brown,No,100,235
3.82,60,80,60,60,2,Female,Right,Introvert,Brown,No,20,236
3.72,40,80,50,50,60,Male,Right,Extrovert,Red,No,50,236
2.97,60,50,80,40,60,Male,Right,Extrovert,Brown,Yes,50,237
3.45,5,5,20,30,50,Female,Right,Introvert,Black,No,500,238
2.2,50,50,25,10,0,Male,Left,Introvert,Black,No,10,239
3.84,50,75,50,45,65,Female,Right,Extrovert,Brown,No,15,239
2.85,60,40,15,75,65,Female,Right,Extrovert,Brown,Yes,100,240
3.12,95,85,97,65,95,Male,Right,Extrovert,Blond,Yes,30,246
2.93,99,89,50,85,95,Female,Right,Extrovert,Blond,No,25,248
3.57,50,50,60,20,80,Female,Right,Introvert,Brown,No,25,249
3.43,33,65,40,30,10,Female,Right,Extrovert,Blond,No,50,249
3.69,40,90,20,30,50,Male,Left,Extrovert,Brown,No,200,249
1.77,90,85,85,60,30,Male,Right,Introvert,Blond,No,7,250
2.01,50,60,50,40,50,Male,Right,Introvert,Brown,Yes,15,250
2.85,25,25,5,15,10,Female,Right,Extrovert,Brown,Yes,15,250
2.97,85,70,20,76,88,Male,Right,Extrovert,Brown,Yes,25,250
3.57,50,50,20,40,60,Female,Right,Introvert,Brown,No,30,250
2.89,60,30,25,50,50,Female,Right,Extrovert,Brown,No,35,250
3.94,30,75,35,20,65,Female,Right,Extrovert,Blond,No,40,250
3.3,99,98,100,95,70,Male,Right,Introvert,Brown,No,50,250
3.77,60,70,45,50,55,Female,Right,Extrovert,Brown,Yes,50,250
3.82,25,25,25,25,50,Female,Right,Extrovert,Brown,No,50,250
3.72,0,10,10,2,0,Female,Right,Extrovert,Blond,No,75,250
3.7,85,90,70,70,75,Female,Left,Introvert,Brown,No,100,250
3.6,25,50,15,15,40,Female,Left,Introvert,Red,Yes,100,250
4,50,70,20,20,40,Female,Right,Extrovert,Brown,Yes,100,250
2.69,65,70,30,80,25,Male,Right,Extrovert,Brown,No,100,250
2.7,45,90,5,50,95,Male,Right,Introvert,Brown,Yes,300,250
2.99,80,70,30,50,40,Female,Right,Extrovert,Brown,Yes,360,250
3.49,30,20,30,40,30,Female,Right,Extrovert,Brown,Yes,750,250
3.55,50,50,50,50,50,Male,Right,Extrovert,Red,No,70,251
2.7,100,100,90,70,30,Female,Right,Introvert,Brown,No,30,253
3.42,5,10,20,10,15,Female,Left,Introvert,Brown,Yes,100,253
3.52,60,70,50,50,30,Male,Right,Extrovert,Brown,No,500,253
3.89,90,99,90,99,99,Male,Right,Extrovert,Black,No,20,256
3.24,40,60,70,50,70,Male,Right,Introvert,Brown,Yes,40,256
2.68,75,75,90,99,75,Male,Right,Extrovert,Brown,No,150,256
3.29,50,75,55,35,35,Female,Right,Extrovert,Blond,Yes,150,257
3.2,72,65,40,30,40,Female,Right,Extrovert,Brown,Yes,100,258
3.39,50,70,70,50,50,Female,Right,Introvert,Blond,No,30,260
3.37,70,50,70,65,65,Female,Right,Extrovert,Blond,No,40,260
3.51,30,50,70,70,30,Male,Right,Extrovert,Brown,No,50,260
3.3,75,85,50,85,85,Female,Right,Extrovert,Blond,No,250,260
1.7,70,70,70,70,50,Male,Right,Introvert,Black,No,17,261
3.56,40,60,50,70,60,Male,Right,Extrovert,Red,No,30,264
3.2,10,5,70,50,10,Female,Right,Extrovert,Brown,No,50,264
3.43,50,50,25,20,40,Female,Right,Introvert,Brown,No,100,265
2.96,90,65,85,55,35,Male,Right,Extrovert,Brown,No,21,267
3.4,50,50,80,47,29,Male,Right,Introvert,Brown,Yes,100,267
3.4,40,40,70,40,60,Female,Right,Extrovert,Brown,Yes,50,273
3.51,5,20,40,50,25,Female,Right,Extrovert,Brown,No,100,273
1.17,7,20,15,25,65,Male,Right,Introvert,Brown,Yes,2,275
3.3,35,65,35,20,25,Male,Right,Introvert,Brown,No,20,275
3.97,20,60,60,20,40,Female,Right,Extrovert,Brown,Yes,25,276
3.65,60,80,65,70,70,Female,Right,Extrovert,Brown,Yes,15,277
3.4,50,50,50,65,25,Male,Right,Extrovert,Brown,No,15,278
2.9,30,30,40,30,20,Male,Right,Extrovert,Brown,No,20,280
2.4,40,30,75,45,30,Female,Right,Extrovert,Blond,No,120,280
3.2,65,45,23,15,50,Female,Right,Extrovert,Brown,Yes,100,283
1.65,100,5,50,75,15,Male,Right,Extrovert,Brown,Yes,500,284
3.15,50,60,70,40,30,Male,Right,Introvert,Blond,No,10,285
3.26,50,35,70,50,65,Female,Left,Extrovert,Brown,Yes,200,285
3.5,50,75,75,40,75,Female,Right,Extrovert,Red,Yes,250,285
2.98,20,20,40,35,25,Male,Right,Introvert,Brown,No,15,287
4,50,75,40,40,40,Male,Right,Introvert,Black,Yes,60,287
3.33,45,60,50,30,20,Female,Right,Extrovert,Brown,Yes,250,287
3.11,71,60,85,20,91,Male,Right,Introvert,Black,Yes,12,289
3.93,20,90,85,20,30,Female,Right,Extrovert,Brown,No,13,290
2.69,75,75,50,75,75,Male,Ambidextrous,Extrovert,Brown,No,20,291
3.1,60,60,80,70,75,Male,Right,Introvert,Brown,Yes,90,292
2.8,75,50,50,85,50,Female,Right,Extrovert,Brown,No,50,293
3.56,50,70,20,40,50,Female,Right,Extrovert,Brown,Yes,50,298
2.8,50,50,60,65,50,Male,Right,Extrovert,Brown,Yes,50,299
3.97,50,50,75,25,50,Female,Right,Extrovert,Brown,Yes,63,299
3.2,60,60,30,70,50,Female,Left,Extrovert,Brown,No,10,300
1.96,50,75,50,75,50,Male,Right,Introvert,Brown,No,10,300
3.84,100,77,55,65,10,Male,Right,Extrovert,Red,No,20,300
2.65,50,50,50,50,50,Female,Right,Extrovert,Blond,No,20,300
4,45,85,45,60,50,Female,Right,Extrovert,Blond,No,20,300
2.57,50,75,75,80,40,Male,Left,Extrovert,Brown,No,30,300
3.5,75,50,25,75,75,Female,Right,Extrovert,Blond,No,50,300
2,50,50,60,50,75,Female,Left,Extrovert,Black,No,50,300
2.56,0,0,50,5,0,Female,Right,Extrovert,Brown,No,50,300
3.2,95,75,75,75,65,Male,Right,Extrovert,Black,No,50,300
3,0,10,30,0,50,Female,Right,Extrovert,Brown,No,100,300
3.1,50,95,75,35,20,Male,Right,Introvert,Blond,Yes,100,300
3.53,40,80,40,20,50,Female,Right,Introvert,Brown,No,150,300
3.93,60,40,30,30,30,Female,Right,Extrovert,Brown,Yes,200,300
3.23,50,75,30,30,80,Female,Right,Extrovert,Brown,Yes,175,304
2.62,50,50,20,75,30,Female,Right,Extrovert,Brown,No,50,305
3.43,40,50,75,60,35,Female,Right,Introvert,Brown,No,70,309
2.77,89,20,10,10,50,Female,Right,Extrovert,Brown,Yes,100,312
2.97,70,75,70,85,50,Male,Right,Introvert,Blond,No,10,313
2.77,90,40,20,10,70,Female,Right,Extrovert,Brown,Yes,100,314
3.1,50,50,75,75,75,Male,Left,Extrovert,Brown,No,10,315
3.3,50,80,70,30,50,Female,Right,Extrovert,Red,No,100,316
2.28,90,100,25,100,10,Male,Right,Introvert,Black,No,15,317
3.2,60,50,40,60,30,Male,Left,Extrovert,Blond,Yes,20,318
2.8,70,25,60,50,50,Female,Right,Extrovert,Brown,No,1000,320
3,50,70,80,70,30,Male,Right,Extrovert,Blond,No,20,321
4,60,75,75,50,50,Female,Right,Introvert,Brown,No,50,321
2.76,15,10,30,50,10,Female,Right,Extrovert,Brown,No,20,322
2.56,25,20,75,75,50,Female,Left,Extrovert,Blond,Yes,30,322
2.83,80,50,75,30,0,Female,Left,Extrovert,Brown,Yes,150,323
3.4,50,50,50,50,50,Male,Right,Extrovert,Brown,Yes,250,326
3.4,30,30,30,75,50,Female,Right,Extrovert,Brown,Yes,200,328
3.55,45,88,20,79,30,Female,Right,Extrovert,Brown,No,115,329
2.4,40,70,25,90,75,Female,Ambidextrous,Extrovert,Brown,No,35,332
3.14,50,60,85,30,45,Female,Right,Extrovert,Brown,Yes,150,333
3.83,50,60,60,40,70,Female,Right,Extrovert,Blond,Yes,200,334
3.58,5,50,40,40,20,Female,Right,Extrovert,Brown,Yes,50,338
3.43,55,50,40,45,50,Female,Right,Extrovert,Brown,No,100,338
3.51,90,80,95,80,30,Female,Right,Extrovert,Blond,Yes,50,341
3.76,80,80,80,50,25,Male,Right,Introvert,Blond,No,50,345
2.8,70,60,90,40,50,Male,Right,Introvert,Brown,No,10,348
2.87,65,50,23,20,37,Female,Right,Extrovert,Brown,Yes,100,348
2.79,40,40,20,35,60,Female,Right,Extrovert,Blond,No,45,350
4,75,65,90,60,5,Female,Right,Extrovert,Brown,No,100,350
2.96,100,100,100,100,100,Male,Right,Extrovert,Brown,Yes,100,350
3.8,75,85,30,50,30,Female,Right,Extrovert,Brown,Yes,200,350
3.1,40,95,20,100,70,Male,Ambidextrous,Introvert,Brown,No,20,357
2.75,10,15,20,5,30,Female,Right,Introvert,Brown,Yes,100,360
2.35,65,50,35,98,1,Male,Right,Extrovert,Blond,No,15,362
3.7,40,60,60,55,30,Female,Right,Introvert,Brown,No,200,367
3.47,80,85,70,70,90,Male,Right,Extrovert,Brown,Yes,10,375
3.45,50,50,70,50,70,Female,Right,Extrovert,Brown,No,50,380
2.75,50,25,50,50,75,Male,Right,Introvert,Brown,No,100,396
3,80,80,35,85,60,Male,Right,Introvert,Brown,No,5,400
3.1,0,0,20,15,5,Female,Ambidextrous,Introvert,Brown,No,7,400
3,70,50,60,60,15,Male,Right,Introvert,Brown,No,20,400
2.75,90,60,75,80,60,Female,Right,Extrovert,Brown,Yes,75,400
3.5,30,75,35,35,35,Male,Left,Extrovert,Black,No,100,400
3.75,60,85,80,85,40,Male,Right,Extrovert,Black,No,80,403
3.3,20,50,30,60,50,Female,Right,Extrovert,Brown,Yes,25,415
3.3,70,50,20,50,67,Female,Right,Extrovert,Brown,No,100,419
3.2,25,30,50,50,80,Female,Right,Extrovert,Brown,No,200,419
3.84,45,60,30,55,30,Female,Right,Extrovert,Brown,Yes,350,420
3.64,50,80,65,60,20,Female,Right,Extrovert,Blond,Yes,40,430
2.75,70,65,85,55,35,Male,Right,Introvert,Brown,Yes,50,430
3.2,50,70,30,60,40,Female,Right,Extrovert,Brown,No,200,440
4,37,60,26,15,40,Female,Right,Extrovert,Brown,Yes,200,446
3.04,75,50,75,90,40,Male,Right,Extrovert,Brown,No,25,452
3.46,50,50,75,30,30,Male,Right,Introvert,Brown,No,15,453
3.35,40,40,30,50,50,Female,Right,Extrovert,Brown,No,200,455
2.38,10,70,50,90,95,Male,Left,Extrovert,Brown,Yes,11,457
3.14,50,70,99,40,50,Female,Right,Extrovert,Brown,No,20,459
3.64,30,40,20,15,85,Female,Right,Introvert,Brown,Yes,50,476
3,80,60,80,90,40,Male,Right,Extrovert,Brown,Yes,200,486
2.97,40,40,20,50,85,Female,Right,Extrovert,Brown,No,75,493
3.8,50,10,30,80,30,Female,Right,Introvert,Brown,No,5,500
2.15,40,20,30,60,50,Male,Right,Extrovert,Brown,No,20,500
2.9,50,50,90,60,80,Male,Right,Introvert,Brown,No,100,500
2.73,80,75,90,89,40,Male,Right,Extrovert,Brown,No,40,534
3.1,50,50,50,10,60,Female,Right,Extrovert,Blond,No,200,534
3.96,60,50,60,40,30,Male,Right,Extrovert,Brown,No,300,536
3.78,85,90,75,95,50,Male,Right,Extrovert,Brown,No,50,541
2.87,90,60,90,50,95,Male,Right,Extrovert,White,Yes,25,579
4,50,75,80,90,75,Female,Right,Extrovert,Blond,No,50,600
3.84,50,70,50,70,50,Female,Right,Extrovert,Brown,No,200,603
3.05,70,50,70,35,40,Female,Right,Extrovert,Blond,No,75,618
2.98,45,50,90,95,60,Female,Right,Extrovert,Brown,No,100,675
3.81,60,75,40,60,10,Male,Right,Extrovert,Blond,Yes,75,678
2.8,100,60,99.9,70,20,Male,Right,Extrovert,Brown,Yes,50,698
3.47,64,67,50,70,88,Female,Ambidextrous,Extrovert,Blond,No,200,768
3.72,75,80,40,30,45,Male,Right,Extrovert,Brown,No,100,930
2.28,85,75,50,70,95,Female,Right,Extrovert,Brown,Yes,200,1000
3.25,70,30,98,88,75,Female,Right,Extrovert,Blond,Yes,500,1000
